"X1558","X1567","X3B","X3B.1"
1753,1774,"Teachers","1A"
1753,1798,"Teachers","1A"
1759,1760,"1A","1A"
1759,1796,"1A","1A"
1760,1778,"1A","1A"
1761,1775,"1A","1A"
1764,1912,"1A","1B"
1766,1889,"1A","2B"
1795,1909,"3A","3A"
1821,1857,"4B","4B"
1837,1895,"4A","4B"
1838,1909,"3A","3A"
1847,1890,"4B","2B"
1851,1855,"2B","2B"
1855,1916,"2B","2A"
1857,1895,"4B","4B"
1861,1889,"2B","2B"
1426,1443,"5B","5B"
1427,1465,"5B","5B"
1428,1452,"5B","5A"
1428,1749,"5B","2B"
1428,1802,"5B","4B"
1429,1489,"5B","5B"
1431,1457,"5B","5A"
1431,1835,"5B","4B"
1452,1482,"5A","5B"
1452,1578,"5A","5B"
1457,1835,"5A","4B"
1459,1522,"5A","5A"
1482,1578,"5B","5B"
1493,1502,"5A","5A"
1500,1653,"4A","Teachers"
1500,1760,"4A","1A"
1500,1837,"4A","4A"
1503,1539,"4A","4A"
1503,1815,"4A","4A"
1519,1743,"4A","2B"
1520,1585,"5A","5B"
1532,1767,"4A","1A"
1532,1822,"4A","3A"
1532,1885,"4A","4B"
1533,1743,"4A","2B"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1558,1567,"3B","3B"
1560,1572,"3B","3B"
1560,1700,"3B","3B"
1560,1911,"3B","2A"
1572,1700,"3B","3B"
1579,1902,"3B","2A"
1613,1700,"2A","3B"
1628,1710,"2A","2B"
1666,1767,"1B","1A"
1674,1711,"1B","1A"
1675,1757,"1B","1A"
1684,1745,"1B","Teachers"
1688,1772,"1B","1A"
1695,1920,"1B","1B"
1696,1711,"1B","1A"
1704,1732,"2B","2B"
1705,1851,"4A","2B"
1708,1835,"2B","4B"
1708,1916,"2B","2A"
1711,1912,"1A","1B"
1720,1763,"3A","3A"
1722,1795,"3A","3A"
1722,1909,"3A","3A"
1730,1837,"4A","4A"
1745,1768,"Teachers","1A"
1749,1802,"2B","4B"
1759,1796,"1A","1A"
1766,1861,"1A","2B"
1774,1778,"1A","1A"
1780,1833,"3A","3A"
1821,1857,"4B","4B"
1838,1909,"3A","3A"
1855,1911,"2B","2A"
1857,1895,"4B","4B"
1427,1465,"5B","5B"
1428,1585,"5B","5B"
1429,1489,"5B","5B"
1429,1723,"5B","3A"
1431,1453,"5B","5A"
1431,1457,"5B","5A"
1434,1753,"5B","Teachers"
1434,1768,"5B","1A"
1452,1578,"5A","5B"
1453,1457,"5A","5A"
1453,1835,"5A","4B"
1457,1835,"5A","4B"
1459,1522,"5A","5A"
1480,1493,"5B","5A"
1498,1585,"5A","5B"
1500,1749,"4A","2B"
1500,1775,"4A","1A"
1503,1539,"4A","4A"
1503,1815,"4A","4A"
1503,1821,"4A","4B"
1519,1743,"4A","2B"
1520,1585,"5A","5B"
1532,1533,"4A","4A"
1533,1885,"4A","4B"
1539,1821,"4A","4B"
1539,1857,"4A","4B"
1549,1551,"4A","3B"
1558,1567,"3B","3B"
1558,1847,"3B","4B"
1558,1866,"3B","4B"
1560,1572,"3B","3B"
1560,1665,"3B","1B"
1567,1866,"3B","4B"
1572,1698,"3B","1B"
1579,1625,"3B","2A"
1579,1889,"3B","2B"
1625,1889,"2A","2B"
1648,1861,"2A","2B"
1665,1764,"1B","1A"
1674,1711,"1B","1A"
1675,1697,"1B","1B"
1695,1752,"1B","1A"
1696,1711,"1B","1A"
1700,1855,"3B","2B"
1702,1792,"2B","1A"
1702,1861,"2B","2B"
1705,1851,"4A","2B"
1708,1916,"2B","2A"
1722,1746,"3A","Teachers"
1746,1838,"Teachers","3A"
1753,1778,"Teachers","1A"
1757,1802,"1A","4B"
1759,1778,"1A","1A"
1761,1775,"1A","1A"
1780,1833,"3A","3A"
1815,1821,"4A","4B"
1815,1857,"4A","4B"
1821,1857,"4B","4B"
1838,1909,"3A","3A"
1847,1866,"4B","4B"
1861,1889,"2B","2B"
1889,1902,"2B","2A"
1428,1437,"5B","5B"
1428,1520,"5B","5A"
1428,1563,"5B","5B"
1428,1585,"5B","5B"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1431,1457,"5B","5A"
1431,1835,"5B","4B"
1437,1563,"5B","5B"
1437,1697,"5B","1B"
1439,1673,"5B","1B"
1439,1759,"5B","1A"
1452,1471,"5A","5B"
1453,1835,"5A","4B"
1457,1835,"5A","4B"
1459,1522,"5A","5A"
1471,1477,"5B","5A"
1471,1482,"5B","5B"
1471,1578,"5B","5B"
1477,1482,"5A","5B"
1477,1498,"5A","5A"
1480,1493,"5B","5A"
1482,1578,"5B","5B"
1482,1585,"5B","5B"
1489,1723,"5B","3A"
1498,1585,"5A","5B"
1500,1775,"4A","1A"
1500,1837,"4A","4A"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1503,1895,"4A","4B"
1520,1585,"5A","5B"
1532,1533,"4A","4A"
1532,1885,"4A","4B"
1533,1749,"4A","2B"
1539,1815,"4A","4A"
1539,1857,"4A","4B"
1539,1895,"4A","4B"
1549,1551,"4A","3B"
1558,1567,"3B","3B"
1558,1847,"3B","4B"
1560,1572,"3B","3B"
1560,1912,"3B","1B"
1579,1730,"3B","4A"
1613,1861,"2A","2B"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1665,1764,"1B","1A"
1665,1912,"1B","1B"
1666,1743,"1B","2B"
1673,1761,"1B","1A"
1675,1684,"1B","1B"
1684,1697,"1B","1B"
1700,1766,"3B","1A"
1702,1749,"2B","2B"
1708,1855,"2B","2B"
1708,1890,"2B","2B"
1722,1746,"3A","Teachers"
1722,1795,"3A","3A"
1730,1798,"4A","1A"
1745,1768,"Teachers","1A"
1749,1861,"2B","2B"
1753,1796,"Teachers","1A"
1757,1920,"1A","1B"
1764,1912,"1A","1B"
1774,1796,"1A","1A"
1780,1833,"3A","3A"
1802,1837,"4B","4A"
1815,1895,"4A","4B"
1821,1857,"4B","4B"
1821,1895,"4B","4B"
1838,1909,"3A","3A"
1861,1889,"2B","2B"
1866,1890,"4B","2B"
1428,1477,"5B","5A"
1428,1498,"5B","5A"
1428,1520,"5B","5A"
1428,1585,"5B","5B"
1429,1489,"5B","5B"
1437,1563,"5B","5B"
1437,1822,"5B","3A"
1452,1471,"5A","5B"
1452,1477,"5A","5A"
1452,1482,"5A","5B"
1452,1578,"5A","5B"
1457,1563,"5A","5B"
1457,1835,"5A","4B"
1459,1522,"5A","5A"
1471,1482,"5B","5B"
1477,1482,"5A","5B"
1477,1578,"5A","5B"
1480,1493,"5B","5A"
1482,1578,"5B","5B"
1493,1502,"5A","5A"
1498,1520,"5A","5A"
1498,1585,"5A","5B"
1500,1802,"4A","4B"
1500,1837,"4A","4A"
1503,1895,"4A","4B"
1520,1585,"5A","5B"
1532,1533,"4A","4A"
1532,1885,"4A","4B"
1539,1895,"4A","4B"
1549,1551,"4A","3B"
1552,1700,"3B","3B"
1558,1567,"3B","3B"
1558,1847,"3B","4B"
1560,1572,"3B","3B"
1560,1743,"3B","2B"
1567,1847,"3B","4B"
1648,1889,"2A","2B"
1665,1912,"1B","1B"
1673,1761,"1B","1A"
1673,1822,"1B","3A"
1675,1684,"1B","1B"
1675,1792,"1B","1A"
1684,1711,"1B","1A"
1688,1765,"1B","1B"
1695,1752,"1B","1A"
1697,1711,"1B","1A"
1702,1749,"2B","2B"
1708,1866,"2B","4B"
1714,1767,"3A","1A"
1722,1763,"3A","3A"
1722,1795,"3A","3A"
1746,1795,"Teachers","3A"
1749,1861,"2B","2B"
1749,1889,"2B","2B"
1752,1765,"1A","1B"
1761,1802,"1A","4B"
1761,1822,"1A","3A"
1763,1795,"3A","3A"
1775,1802,"1A","4B"
1802,1837,"4B","4A"
1815,1895,"4A","4B"
1821,1857,"4B","4B"
1838,1909,"3A","3A"
1847,1866,"4B","4B"
1861,1889,"2B","2B"
1866,1916,"4B","2A"
1426,1471,"5B","5B"
1428,1520,"5B","5A"
1429,1489,"5B","5B"
1429,1711,"5B","1A"
1431,1533,"5B","4A"
1431,1835,"5B","4B"
1437,1453,"5B","5A"
1437,1457,"5B","5A"
1437,1563,"5B","5B"
1439,1477,"5B","5A"
1452,1477,"5A","5A"
1452,1578,"5A","5B"
1453,1457,"5A","5A"
1457,1563,"5A","5B"
1459,1522,"5A","5A"
1471,1482,"5B","5B"
1477,1482,"5A","5B"
1477,1578,"5A","5B"
1480,1493,"5B","5A"
1489,1711,"5B","1A"
1493,1502,"5A","5A"
1493,1730,"5A","4A"
1498,1585,"5A","5B"
1503,1539,"4A","4A"
1532,1533,"4A","4A"
1532,1885,"4A","4B"
1533,1885,"4A","4B"
1539,1857,"4A","4B"
1539,1895,"4A","4B"
1549,1757,"4A","1A"
1551,1802,"3B","4B"
1552,1700,"3B","3B"
1552,1780,"3B","3A"
1558,1567,"3B","3B"
1558,1847,"3B","4B"
1560,1572,"3B","3B"
1567,1847,"3B","4B"
1579,1684,"3B","1B"
1579,1902,"3B","2A"
1625,1730,"2A","4A"
1628,1700,"2A","3B"
1653,1821,"Teachers","4B"
1665,1912,"1B","1B"
1666,1745,"1B","Teachers"
1666,1768,"1B","1A"
1673,1711,"1B","1A"
1684,1764,"1B","1A"
1684,1912,"1B","1B"
1688,1695,"1B","1B"
1688,1765,"1B","1B"
1695,1697,"1B","1B"
1714,1723,"3A","3A"
1714,1822,"3A","3A"
1722,1780,"3A","3A"
1722,1795,"3A","3A"
1723,1822,"3A","3A"
1746,1795,"Teachers","3A"
1752,1787,"1A","1A"
1757,1920,"1A","1B"
1764,1912,"1A","1B"
1792,1912,"1A","1B"
1821,1857,"4B","4B"
1821,1895,"4B","4B"
1838,1909,"3A","3A"
1857,1895,"4B","4B"
1426,1471,"5B","5B"
1428,1520,"5B","5A"
1428,1775,"5B","1A"
1428,1837,"5B","4A"
1429,1489,"5B","5B"
1439,1477,"5B","5A"
1452,1477,"5A","5A"
1452,1578,"5A","5B"
1471,1711,"5B","1A"
1477,1578,"5A","5B"
1480,1493,"5B","5A"
1480,1502,"5B","5A"
1493,1502,"5A","5A"
1503,1539,"4A","4A"
1503,1857,"4A","4B"
1532,1533,"4A","4A"
1532,1885,"4A","4B"
1533,1855,"4A","2B"
1539,1857,"4A","4B"
1549,1780,"4A","3A"
1551,1890,"3B","2B"
1552,1700,"3B","3B"
1558,1567,"3B","3B"
1558,1847,"3B","4B"
1560,1572,"3B","3B"
1613,1723,"2A","3A"
1625,1628,"2A","2A"
1628,1710,"2A","2B"
1648,1702,"2A","2B"
1648,1749,"2A","2B"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1665,1764,"1B","1A"
1666,1745,"1B","Teachers"
1668,1916,"Teachers","2A"
1673,1761,"1B","1A"
1673,1767,"1B","1A"
1695,1752,"1B","1A"
1702,1749,"2B","2B"
1702,1861,"2B","2B"
1702,1889,"2B","2B"
1705,1866,"4A","4B"
1708,1855,"2B","2B"
1714,1822,"3A","3A"
1720,1763,"3A","3A"
1722,1795,"3A","3A"
1723,1838,"3A","3A"
1745,1764,"Teachers","1A"
1745,1768,"Teachers","1A"
1749,1861,"2B","2B"
1749,1889,"2B","2B"
1757,1920,"1A","1B"
1761,1775,"1A","1A"
1775,1837,"1A","4A"
1802,1837,"4B","4A"
1821,1895,"4B","4B"
1838,1909,"3A","3A"
1857,1895,"4B","4B"
1861,1889,"2B","2B"
1428,1520,"5B","5A"
1429,1489,"5B","5B"
1429,1665,"5B","1B"
1429,1764,"5B","1A"
1452,1459,"5A","5A"
1452,1477,"5A","5A"
1457,1653,"5A","Teachers"
1459,1477,"5A","5A"
1471,1578,"5B","5B"
1477,1522,"5A","5A"
1477,1578,"5A","5B"
1480,1502,"5B","5A"
1482,1578,"5B","5B"
1493,1502,"5A","5A"
1503,1821,"4A","4B"
1503,1857,"4A","4B"
1520,1802,"5A","4B"
1520,1837,"5A","4A"
1532,1885,"4A","4B"
1551,1838,"3B","3A"
1551,1909,"3B","3A"
1552,1700,"3B","3B"
1558,1567,"3B","3B"
1560,1572,"3B","3B"
1563,1653,"5B","Teachers"
1567,1847,"3B","4B"
1625,1628,"2A","2A"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1665,1674,"1B","1B"
1665,1764,"1B","1A"
1665,1792,"1B","1A"
1666,1745,"1B","Teachers"
1666,1768,"1B","1A"
1673,1761,"1B","1A"
1688,1787,"1B","1A"
1698,1792,"1B","1A"
1698,1912,"1B","1B"
1700,1709,"3B","Teachers"
1702,1749,"2B","2B"
1702,1889,"2B","2B"
1711,1847,"1A","4B"
1714,1822,"3A","3A"
1720,1763,"3A","3A"
1749,1861,"2B","2B"
1749,1889,"2B","2B"
1752,1772,"1A","1A"
1757,1920,"1A","1B"
1767,1802,"1A","4B"
1772,1787,"1A","1A"
1821,1857,"4B","4B"
1821,1895,"4B","4B"
1835,1911,"4B","2A"
1838,1909,"3A","3A"
1857,1895,"4B","4B"
1861,1889,"2B","2B"
1426,1452,"5B","5A"
1426,1482,"5B","5B"
1426,1578,"5B","5B"
1428,1500,"5B","4A"
1429,1489,"5B","5B"
1429,1761,"5B","1A"
1443,1493,"5B","5A"
1452,1482,"5A","5B"
1452,1578,"5A","5B"
1459,1522,"5A","5A"
1480,1502,"5B","5A"
1498,1585,"5A","5B"
1498,1802,"5A","4B"
1502,1890,"5A","2B"
1532,1708,"4A","2B"
1532,1885,"4A","4B"
1549,1551,"4A","3B"
1551,1909,"3B","3A"
1552,1700,"3B","3B"
1552,1720,"3B","3A"
1560,1572,"3B","3B"
1560,1920,"3B","1B"
1567,1847,"3B","4B"
1613,1890,"2A","2B"
1625,1628,"2A","2A"
1625,1710,"2A","2B"
1628,1710,"2A","2B"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1666,1745,"1B","Teachers"
1666,1768,"1B","1A"
1673,1761,"1B","1A"
1700,1720,"3B","3A"
1702,1749,"2B","2B"
1705,1866,"4A","4B"
1708,1855,"2B","2B"
1708,1911,"2B","2A"
1745,1768,"Teachers","1A"
1752,1772,"1A","1A"
1757,1920,"1A","1B"
1760,1796,"1A","1A"
1767,1775,"1A","1A"
1772,1787,"1A","1A"
1775,1802,"1A","4B"
1821,1895,"4B","4B"
1838,1909,"3A","3A"
1847,1855,"4B","2B"
1861,1889,"2B","2B"
1428,1761,"5B","1A"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1431,1708,"5B","2B"
1437,1563,"5B","5B"
1453,1457,"5A","5A"
1453,1714,"5A","3A"
1459,1522,"5A","5A"
1477,1482,"5A","5B"
1480,1502,"5B","5A"
1498,1585,"5A","5B"
1500,1520,"4A","5A"
1500,1775,"4A","1A"
1502,1890,"5A","2B"
1503,1539,"4A","4A"
1503,1551,"4A","3B"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1520,1579,"5A","3B"
1532,1885,"4A","4B"
1539,1653,"4A","Teachers"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1551,1835,"3B","4B"
1552,1700,"3B","3B"
1552,1720,"3B","3A"
1560,1572,"3B","3B"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1665,1792,"1B","1A"
1673,1802,"1B","4B"
1675,1684,"1B","1B"
1697,1698,"1B","1B"
1702,1749,"2B","2B"
1705,1866,"4A","4B"
1711,1765,"1A","1B"
1714,1764,"3A","1A"
1714,1916,"3A","2A"
1757,1920,"1A","1B"
1764,1912,"1A","1B"
1764,1916,"1A","2A"
1766,1902,"1A","2A"
1772,1787,"1A","1A"
1775,1837,"1A","4A"
1821,1857,"4B","4B"
1833,1837,"3A","4A"
1835,1889,"4B","2B"
1838,1909,"3A","3A"
1847,1855,"4B","2B"
1855,1911,"2B","2A"
1857,1895,"4B","4B"
1861,1889,"2B","2B"
1911,1916,"2A","2A"
1426,1471,"5B","5B"
1426,1578,"5B","5B"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1431,1795,"5B","3A"
1434,1532,"5B","4A"
1434,1533,"5B","4A"
1434,1714,"5B","3A"
1434,1885,"5B","4B"
1437,1563,"5B","5B"
1437,1912,"5B","1B"
1452,1471,"5A","5B"
1452,1578,"5A","5B"
1459,1522,"5A","5A"
1489,1722,"5B","3A"
1498,1775,"5A","1A"
1500,1761,"4A","1A"
1500,1847,"4A","4B"
1502,1890,"5A","2B"
1520,1775,"5A","1A"
1532,1533,"4A","4A"
1532,1795,"4A","3A"
1532,1885,"4A","4B"
1533,1885,"4A","4B"
1552,1700,"3B","3B"
1552,1720,"3B","3A"
1560,1572,"3B","3B"
1567,1797,"3B","4A"
1604,1749,"2A","2B"
1613,1902,"2A","2A"
1648,1889,"2A","2B"
1673,1761,"1B","1A"
1673,1767,"1B","1A"
1673,1802,"1B","4B"
1674,1696,"1B","1B"
1688,1920,"1B","1B"
1700,1720,"3B","3A"
1702,1749,"2B","2B"
1705,1711,"4A","1A"
1705,1797,"4A","4A"
1705,1866,"4A","4B"
1708,1749,"2B","2B"
1711,1765,"1A","1B"
1711,1866,"1A","4B"
1714,1795,"3A","3A"
1722,1889,"3A","2B"
1753,1911,"Teachers","2A"
1757,1920,"1A","1B"
1766,1795,"1A","3A"
1797,1866,"4A","4B"
1821,1857,"4B","4B"
1821,1895,"4B","4B"
1838,1909,"3A","3A"
1857,1895,"4B","4B"
1861,1889,"2B","2B"
1426,1452,"5B","5A"
1426,1471,"5B","5B"
1426,1578,"5B","5B"
1428,1500,"5B","4A"
1428,1847,"5B","4B"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1431,1673,"5B","1B"
1431,1761,"5B","1A"
1434,1533,"5B","4A"
1434,1885,"5B","4B"
1437,1563,"5B","5B"
1439,1797,"5B","4A"
1443,1493,"5B","5A"
1452,1471,"5A","5B"
1452,1578,"5A","5B"
1453,1457,"5A","5A"
1471,1578,"5B","5B"
1477,1493,"5A","5A"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1520,1775,"5A","1A"
1520,1847,"5A","4B"
1533,1885,"4A","4B"
1549,1551,"4A","3B"
1552,1722,"3B","3A"
1552,1749,"3B","2B"
1567,1797,"3B","4A"
1604,1749,"2A","2B"
1613,1902,"2A","2A"
1628,1720,"2A","3A"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1653,1815,"Teachers","4A"
1665,1757,"1B","1A"
1673,1775,"1B","1A"
1673,1837,"1B","4A"
1673,1847,"1B","4B"
1674,1696,"1B","1B"
1688,1695,"1B","1B"
1688,1757,"1B","1A"
1688,1787,"1B","1A"
1695,1752,"1B","1A"
1695,1772,"1B","1A"
1695,1787,"1B","1A"
1697,1698,"1B","1B"
1700,1720,"3B","3A"
1702,1749,"2B","2B"
1705,1711,"4A","1A"
1708,1855,"2B","2B"
1708,1916,"2B","2A"
1711,1765,"1A","1B"
1711,1866,"1A","4B"
1722,1723,"3A","3A"
1722,1890,"3A","2B"
1752,1772,"1A","1A"
1752,1787,"1A","1A"
1757,1920,"1A","1B"
1761,1837,"1A","4A"
1764,1912,"1A","1B"
1765,1797,"1B","4A"
1765,1866,"1B","4B"
1861,1889,"2B","2B"
1426,1452,"5B","5A"
1426,1471,"5B","5B"
1426,1578,"5B","5B"
1426,1695,"5B","1B"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1434,1532,"5B","4A"
1434,1885,"5B","4B"
1437,1563,"5B","5B"
1439,1797,"5B","4A"
1452,1471,"5A","5B"
1452,1578,"5A","5B"
1453,1457,"5A","5A"
1459,1522,"5A","5A"
1471,1578,"5B","5B"
1489,1700,"5B","3B"
1493,1704,"5A","2B"
1501,1502,"5A","5A"
1503,1539,"4A","4A"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1520,1847,"5A","4B"
1532,1885,"4A","4B"
1549,1551,"4A","3B"
1551,1749,"3B","2B"
1648,1861,"2A","2B"
1648,1889,"2A","2B"
1648,1890,"2A","2B"
1653,1815,"Teachers","4A"
1665,1757,"1B","1A"
1665,1764,"1B","1A"
1665,1920,"1B","1B"
1673,1837,"1B","4A"
1674,1696,"1B","1B"
1674,1766,"1B","1A"
1674,1855,"1B","2B"
1675,1684,"1B","1B"
1675,1767,"1B","1A"
1695,1752,"1B","1A"
1695,1912,"1B","1B"
1697,1698,"1B","1B"
1697,1911,"1B","2A"
1700,1720,"3B","3A"
1702,1749,"2B","2B"
1708,1911,"2B","2A"
1708,1916,"2B","2A"
1711,1765,"1A","1B"
1714,1822,"3A","3A"
1757,1792,"1A","1A"
1763,1822,"3A","3A"
1764,1772,"1A","1A"
1764,1912,"1A","1B"
1767,1780,"1A","3A"
1775,1802,"1A","4B"
1792,1912,"1A","1B"
1802,1837,"4B","4A"
1821,1857,"4B","4B"
1837,1847,"4A","4B"
1855,1916,"2B","2A"
1861,1889,"2B","2B"
1861,1890,"2B","2B"
1889,1890,"2B","2B"
1426,1578,"5B","5B"
1428,1847,"5B","4B"
1429,1489,"5B","5B"
1429,1708,"5B","2B"
1431,1453,"5B","5A"
1431,1477,"5B","5A"
1434,1532,"5B","4A"
1434,1885,"5B","4B"
1437,1563,"5B","5B"
1439,1797,"5B","4A"
1443,1493,"5B","5A"
1480,1861,"5B","2B"
1480,1890,"5B","2B"
1500,1802,"4A","4B"
1501,1502,"5A","5A"
1503,1539,"4A","4A"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1519,1743,"4A","2B"
1532,1885,"4A","4B"
1533,1743,"4A","2B"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1549,1708,"4A","2B"
1551,1855,"3B","2B"
1613,1902,"2A","2A"
1648,1889,"2A","2B"
1648,1890,"2A","2B"
1665,1766,"1B","1A"
1674,1855,"1B","2B"
1684,1780,"1B","3A"
1695,1920,"1B","1B"
1700,1720,"3B","3A"
1702,1749,"2B","2B"
1711,1765,"1A","1B"
1714,1822,"3A","3A"
1757,1920,"1A","1B"
1764,1912,"1A","1B"
1766,1772,"1A","1A"
1772,1787,"1A","1A"
1792,1912,"1A","1B"
1821,1857,"4B","4B"
1837,1847,"4A","4B"
1855,1911,"2B","2A"
1855,1916,"2B","2A"
1861,1889,"2B","2B"
1861,1890,"2B","2B"
1889,1890,"2B","2B"
1428,1761,"5B","1A"
1428,1802,"5B","4B"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1431,1457,"5B","5A"
1434,1532,"5B","4A"
1434,1885,"5B","4B"
1437,1563,"5B","5B"
1439,1705,"5B","4A"
1443,1493,"5B","5A"
1453,1457,"5A","5A"
1459,1522,"5A","5A"
1480,1502,"5B","5A"
1500,1761,"4A","1A"
1503,1653,"4A","Teachers"
1533,1743,"4A","2B"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1549,1696,"4A","1B"
1551,1674,"3B","1B"
1551,1890,"3B","2B"
1552,1720,"3B","3A"
1648,1861,"2A","2B"
1665,1766,"1B","1A"
1665,1772,"1B","1A"
1666,1745,"1B","Teachers"
1666,1768,"1B","1A"
1666,1916,"1B","2A"
1673,1761,"1B","1A"
1674,1889,"1B","2B"
1674,1890,"1B","2B"
1688,1752,"1B","1A"
1695,1743,"1B","2B"
1695,1920,"1B","1B"
1697,1698,"1B","1B"
1697,1749,"1B","2B"
1700,1720,"3B","3A"
1702,1749,"2B","2B"
1711,1765,"1A","1B"
1714,1792,"3A","1A"
1714,1909,"3A","3A"
1732,1768,"2B","1A"
1745,1916,"Teachers","2A"
1764,1792,"1A","1A"
1764,1912,"1A","1B"
1765,1902,"1B","2A"
1768,1916,"1A","2A"
1772,1787,"1A","1A"
1780,1833,"3A","3A"
1802,1847,"4B","4B"
1821,1822,"4B","3A"
1821,1857,"4B","4B"
1822,1857,"3A","4B"
1837,1847,"4A","4B"
1838,1909,"3A","3A"
1861,1889,"2B","2B"
1861,1890,"2B","2B"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1434,1532,"5B","4A"
1434,1885,"5B","4B"
1437,1453,"5B","5A"
1437,1563,"5B","5B"
1439,1705,"5B","4A"
1459,1522,"5A","5A"
1480,1502,"5B","5A"
1501,1502,"5A","5A"
1503,1653,"4A","Teachers"
1532,1885,"4A","4B"
1533,1743,"4A","2B"
1533,1912,"4A","1B"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1551,1674,"3B","1B"
1551,1704,"3B","2B"
1551,1890,"3B","2B"
1552,1700,"3B","3B"
1558,1567,"3B","3B"
1567,1765,"3B","1B"
1578,1761,"5B","1A"
1625,1821,"2A","4B"
1665,1772,"1B","1A"
1665,1787,"1B","1A"
1674,1890,"1B","2B"
1695,1838,"1B","3A"
1695,1909,"1B","3A"
1696,1890,"1B","2B"
1697,1768,"1B","1A"
1700,1720,"3B","3A"
1700,1745,"3B","Teachers"
1702,1704,"2B","2B"
1702,1749,"2B","2B"
1704,1768,"2B","1A"
1704,1911,"2B","2A"
1711,1765,"1A","1B"
1714,1723,"3A","3A"
1714,1763,"3A","3A"
1714,1822,"3A","3A"
1723,1822,"3A","3A"
1743,1764,"2B","1A"
1745,1749,"Teachers","2B"
1745,1911,"Teachers","2A"
1752,1857,"1A","4B"
1761,1767,"1A","1A"
1761,1775,"1A","1A"
1761,1802,"1A","4B"
1766,1787,"1A","1A"
1768,1911,"1A","2A"
1772,1787,"1A","1A"
1775,1802,"1A","4B"
1792,1912,"1A","1B"
1802,1847,"4B","4B"
1837,1847,"4A","4B"
1838,1909,"3A","3A"
1855,1916,"2B","2A"
1426,1578,"5B","5B"
1429,1489,"5B","5B"
1434,1532,"5B","4A"
1434,1885,"5B","4B"
1437,1457,"5B","5A"
1437,1563,"5B","5B"
1443,1493,"5B","5A"
1452,1477,"5A","5A"
1452,1708,"5A","2B"
1471,1684,"5B","1B"
1480,1502,"5B","5A"
1489,1551,"5B","3B"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1520,1563,"5A","5B"
1528,1851,"4A","2B"
1532,1885,"4A","4B"
1533,1743,"4A","2B"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1551,1700,"3B","3B"
1551,1822,"3B","3A"
1552,1700,"3B","3B"
1563,1802,"5B","4B"
1579,1765,"3B","1B"
1613,1752,"2A","1A"
1613,1902,"2A","2A"
1665,1766,"1B","1A"
1665,1772,"1B","1A"
1665,1787,"1B","1A"
1674,1696,"1B","1B"
1674,1890,"1B","2B"
1695,1895,"1B","4B"
1697,1698,"1B","1B"
1700,1711,"3B","1A"
1702,1704,"2B","2B"
1702,1749,"2B","2B"
1704,1749,"2B","2B"
1704,1911,"2B","2A"
1711,1765,"1A","1B"
1714,1723,"3A","3A"
1714,1763,"3A","3A"
1714,1822,"3A","3A"
1723,1763,"3A","3A"
1723,1822,"3A","3A"
1749,1911,"2B","2A"
1763,1822,"3A","3A"
1766,1787,"1A","1A"
1837,1847,"4A","4B"
1855,1911,"2B","2A"
1855,1916,"2B","2A"
1857,1895,"4B","4B"
1911,1916,"2A","2A"
1426,1471,"5B","5B"
1426,1482,"5B","5B"
1428,1500,"5B","4A"
1429,1489,"5B","5B"
1431,1453,"5B","5A"
1434,1532,"5B","4A"
1443,1493,"5B","5A"
1459,1522,"5A","5A"
1471,1482,"5B","5B"
1480,1502,"5B","5A"
1498,1585,"5A","5B"
1498,1723,"5A","3A"
1498,1822,"5A","3A"
1500,1802,"4A","4B"
1503,1653,"4A","Teachers"
1503,1815,"4A","4A"
1539,1815,"4A","4A"
1549,1551,"4A","3B"
1549,1578,"4A","5B"
1551,1578,"3B","5B"
1552,1700,"3B","3B"
1563,1675,"5B","1B"
1563,1780,"5B","3A"
1578,1665,"5B","1B"
1579,1628,"3B","2A"
1579,1851,"3B","2B"
1613,1902,"2A","2A"
1628,1851,"2A","2B"
1648,1889,"2A","2B"
1653,1815,"Teachers","4A"
1673,1861,"1B","2B"
1674,1696,"1B","1B"
1674,1890,"1B","2B"
1688,1730,"1B","4A"
1696,1890,"1B","2B"
